Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000949,7/4/2016,7/4/2016,,Cate Blanchett,Carol,5/14/1969
2,nm0000204,7/4/2016,7/4/2016,,Natalie Portman,Black Swan,6/9/1981
3,nm0000235,7/4/2016,7/4/2016,,Uma Thurman,Kill Bill: Vol. 1,4/29/1970
4,nm0000307,7/4/2016,7/4/2016,,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,5/26/1966
5,nm0000531,1/30/2018,1/30/2018,,Frances McDormand,Fargo,6/23/1957
6,nm0000658,7/4/2016,7/4/2016,,Meryl Streep,Out of Africa,6/22/1949
7,nm0000244,7/4/2016,7/4/2016,,Sigourney Weaver,Alien,10/8/1949
8,nm0000234,7/4/2016,7/4/2016,,Charlize Theron,Monster,8/7/1975
9,nm0000194,7/4/2016,7/4/2016,,Julianne Moore,Boogie Nights,12/3/1960
10,nm0000705,7/4/2016,7/4/2016,,Robin Wright,Forrest Gump,4/8/1966
11,nm0000149,7/4/2016,7/4/2016,,Jodie Foster,The Silence of the Lambs,11/19/1962
12,nm1046097,7/4/2016,7/4/2016,,Rachel McAdams,The Notebook,11/17/1978
13,nm1297015,7/4/2016,7/4/2016,,Emma Stone,La La Land,11/6/1988
14,nm0000995,7/4/2016,7/4/2016,,Ellen Burstyn,Requiem for a Dream,12/7/1932
15,nm1519680,7/4/2016,7/4/2016,,Saoirse Ronan,Hanna,4/12/1994
16,nm0000017,2/16/2017,2/16/2017,,Marlene Dietrich,Witness for the Prosecution,12/27/1901
17,nm0000173,7/4/2016,7/4/2016,,Nicole Kidman,Moulin Rouge!,6/20/1967
18,nm1020089,1/30/2018,1/30/2018,,Sally Hawkins,The Shape of Water,4/27/1976
19,nm2225369,7/4/2016,7/4/2016,,Jennifer Lawrence,The Hunger Games,8/15/1990
20,nm0000054,2/16/2017,2/16/2017,,Marilyn Monroe,Some Like It Hot,6/1/1926
21,nm0000365,2/16/2017,2/16/2017,,Julie Delpy,Trois couleurs: Blanc,12/21/1969
22,nm0461136,7/4/2016,7/4/2016,,Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl,3/26/1985
23,nm2650819,10/28/2016,10/28/2016,,Ad̬le Exarchopoulos,La vie d'Ad̬le,11/22/1993
24,nm0004266,7/4/2016,7/4/2016,,Anne Hathaway,Les Mis̩rables,11/12/1982
25,nm0001571,7/4/2016,7/4/2016,,Kim Novak,Vertigo,2/13/1933
26,nm0000006,2/16/2017,2/16/2017,,Ingrid Bergman,Casablanca,8/29/1915
27,nm0010736,7/4/2016,7/4/2016,,Amy Adams,Arrival,8/20/1974
28,nm3053338,7/4/2016,7/4/2016,,Margot Robbie,Suicide Squad,7/2/1990
29,nm0491259,7/4/2016,7/4/2016,,M̩lanie Laurent,Inglourious Basterds,2/21/1983
30,nm0914612,7/4/2016,7/4/2016,,Emma Watson,The Perks of Being a Wallflower,4/15/1990
31,nm0000124,7/4/2016,7/4/2016,,Jennifer Connelly,A Beautiful Mind,12/12/1970
32,nm0000701,7/4/2016,7/4/2016,,Kate Winslet,Titanic,10/5/1975
33,nm0182839,7/4/2016,7/4/2016,,Marion Cotillard,La M̫me,9/30/1975
34,nm0001167,2/16/2017,2/16/2017,,Shelley Duvall,The Shining,7/7/1949
35,nm1208167,2/16/2017,2/16/2017,,Diane Kruger,Inglourious Basterds,7/15/1976
36,nm0001201,3/3/2020,3/3/2020,,Mia Farrow,Rosemary's Baby,2/9/1945
37,nm0000012,2/16/2017,2/16/2017,,Bette Davis,All About Eve,4/5/1908
38,nm0000492,7/4/2016,7/4/2016,,Jennifer Jason Leigh,The Hateful Eight,2/5/1962
39,nm0005476,7/11/2016,7/11/2016,,Hilary Swank,Million Dollar Baby,7/30/1974
40,nm2539953,7/4/2016,7/4/2016,,Alicia Vikander,Ex Machina,10/3/1988
41,nm1567113,7/4/2016,7/4/2016,,Jessica Chastain,Zero Dark Thirty,3/24/1977
42,nm0000210,7/11/2016,7/11/2016,,Julia Roberts,Pretty Woman,10/28/1967
43,nm0000761,2/16/2017,2/16/2017,,Bibi Andersson,Persona,11/11/1935
44,nm0000046,2/16/2017,2/16/2017,,Vivien Leigh,A Streetcar Named Desire,11/5/1913
45,nm1200692,7/4/2016,7/4/2016,,Eva Green,Casino Royale,7/6/1980
46,nm0851582,2/16/2017,2/16/2017,,Audrey Tautou,Le fabuleux destin d'Am̩lie Poulain,8/9/1976
47,nm2244205,7/4/2016,7/4/2016,,L̩a Seydoux,La vie d'Ad̬le,7/1/1985
